payment_id,invoice_id,payment_date,amount,currency,payment_method
PAY-000114,INV-000114,2025-02-13,2735.87,USD,check
PAY-000115,INV-000115,2026-01-06,1043.03,USD,bank_transfer
PAY-000116,INV-000116,2026-01-15,4837.49,USD,card
PAY-000117,INV-000117,2025-12-25,4456.04,USD,check
PAY-000118,INV-000118,2025-06-28,3506.43,USD,card
PAY-000119,INV-000119,2025-12-31,1560.08,USD,bank_transfer
PAY-000120,INV-000120,2025-09-16,3496.14,USD,check
PAY-000121,INV-000121,2025-04-19,3237.07,USD,card
PAY-000122,INV-000122,2025-10-27,4381.12,USD,card
PAY-000123,INV-000123,2025-05-26,2263.85,USD,check
PAY-000124,INV-000124,2025-07-12,2447.87,USD,check
PAY-000125,INV-000125,2025-04-30,2690.02,USD,check
PAY-000126,INV-000126,2025-03-27,1497.85,USD,check
PAY-000127,INV-000127,2025-11-29,1767.35,USD,check
PAY-000128,INV-000128,2025-06-17,1187.76,USD,bank_transfer
PAY-000129,INV-000129,2025-03-04,1293.68,USD,bank_transfer
PAY-000130,INV-000130,2025-09-27,2182.86,USD,bank_transfer
PAY-000131,INV-000131,2026-01-17,2023.15,USD,bank_transfer
PAY-000132,INV-000132,2025-03-17,3449.63,USD,bank_transfer
PAY-000133,INV-000133,2025-09-19,1157.35,USD,check
PAY-000134,INV-000134,2025-09-10,273.28,USD,bank_transfer
PAY-000135,INV-000135,2025-10-03,709.08,USD,check
PAY-000136,INV-000136,2025-11-11,3131.88,USD,check
PAY-000137,INV-000137,2025-10-14,2247.35,USD,bank_transfer
PAY-000138,INV-000138,2025-09-16,2369.66,USD,check
PAY-000139,INV-000139,2025-06-24,4025.06,USD,card
PAY-000140,INV-000140,2025-12-15,1264.33,USD,bank_transfer
PAY-000141,INV-000141,2025-06-17,1239.42,USD,card
PAY-000142,INV-000142,2025-10-13,432.45,USD,bank_transfer
PAY-000143,INV-000143,2025-08-30,3648.29,USD,bank_transfer
PAY-000144,INV-000144,2025-02-23,2185.10,USD,check
PAY-000145,INV-000145,2025-09-09,2189.85,USD,card
PAY-000146,INV-000146,2025-08-25,4753.95,USD,check
PAY-000147,INV-000147,2025-02-16,4501.74,USD,card
PAY-000148,INV-000148,2025-09-21,40.91,USD,card
PAY-000149,INV-000149,2025-09-06,2831.82,USD,check
PAY-000150,INV-000150,2025-05-10,2569.72,USD,card
PAY-000151,INV-000151,2025-09-27,162.17,USD,check
PAY-000152,INV-000152,2025-12-24,4194.56,USD,card
PAY-000153,INV-000153,2025-03-08,3272.41,USD,card
PAY-000154,INV-000154,2025-11-01,2969.03,USD,bank_transfer
PAY-000155,INV-000155,2025-12-25,2257.16,USD,bank_transfer
PAY-000156,INV-000156,2025-02-15,1373.96,USD,bank_transfer
PAY-000157,INV-000157,2025-09-14,1723.61,USD,card
PAY-000158,INV-000158,2025-09-03,1332.62,USD,bank_transfer
PAY-000159,INV-000159,2025-10-18,283.07,USD,check
PAY-000160,INV-000160,2025-02-07,4105.91,USD,bank_transfer
PAY-000161,INV-000161,2025-06-15,1055.22,USD,bank_transfer
PAY-000162,INV-000162,2025-06-14,671.76,USD,bank_transfer
PAY-000163,INV-000163,2025-11-14,4978.97,USD,check
PAY-000164,INV-000164,2025-05-22,4030.75,USD,check
PAY-000165,INV-000165,2025-11-14,3931.28,USD,bank_transfer
PAY-000166,INV-000166,2025-06-10,576.74,USD,card
PAY-000167,INV-000167,2025-11-16,3561.25,USD,check
PAY-000168,INV-000168,2025-05-26,408.44,USD,check
PAY-000169,INV-000169,2025-05-24,544.25,USD,check
PAY-000170,INV-000170,2025-12-10,4233.28,USD,bank_transfer
PAY-000171,INV-000171,2025-08-08,2803.11,USD,card
PAY-000172,INV-000172,2025-02-26,2662.69,USD,bank_transfer
PAY-000173,INV-000173,2025-08-10,4321.38,USD,card
PAY-000174,INV-000174,2025-08-19,3342.29,USD,bank_transfer
PAY-000175,INV-000175,2025-09-13,933.46,USD,check
PAY-000176,INV-000176,2025-06-18,3239.15,USD,card
PAY-000177,INV-000177,2025-09-18,4339.22,USD,card
PAY-000178,INV-000178,2025-06-20,4475.42,USD,card
PAY-000179,INV-000179,2025-09-17,1288.54,USD,check
PAY-000180,INV-000180,2025-11-30,3513.23,USD,bank_transfer
PAY-000181,INV-000181,2025-09-22,4471.44,USD,card
PAY-000182,INV-000182,2025-05-10,1870.30,USD,card
PAY-000183,INV-000183,2025-12-07,3686.22,USD,bank_transfer
PAY-000184,INV-000184,2025-09-27,4980.57,USD,bank_transfer
PAY-000185,INV-000185,2025-08-12,2571.55,USD,check
PAY-000186,INV-000186,2025-10-02,3396.39,USD,card
PAY-000187,INV-000187,2025-01-23,497.86,USD,card
PAY-000188,INV-000188,2026-02-01,1285.61,USD,check
PAY-000189,INV-000189,2025-08-10,2491.24,USD,card
PAY-000190,INV-000190,2025-08-27,3920.84,USD,card
PAY-000191,INV-000191,2026-01-14,2388.93,USD,card
PAY-000192,INV-000192,2025-05-11,642.58,USD,card
PAY-000193,INV-000193,2025-04-16,3904.83,USD,bank_transfer
PAY-000194,INV-000194,2025-05-09,1144.47,USD,card
PAY-000195,INV-000195,2025-12-06,3995.67,USD,card
PAY-000196,INV-000196,2025-03-11,4375.37,USD,bank_transfer
PAY-000197,INV-000197,2025-07-04,950.79,USD,check
PAY-000198,INV-000198,2025-10-03,673.65,USD,bank_transfer
PAY-000199,INV-000199,2025-10-19,1541.63,USD,check
PAY-000200,INV-000200,2025-10-15,547.85,USD,card
PAY-000201,INV-000201,2025-09-19,2519.84,USD,bank_transfer
PAY-000202,INV-000202,2025-02-03,1333.71,USD,bank_transfer
PAY-000203,INV-000203,2025-08-30,2588.16,USD,check
PAY-000204,INV-000204,2025-12-27,291.06,USD,check
PAY-000205,INV-000205,2025-06-12,456.59,USD,check
PAY-000206,INV-000206,2025-09-10,3188.85,USD,bank_transfer
PAY-000207,INV-000207,2025-10-23,2004.27,USD,card
PAY-000208,INV-000208,2025-12-04,2258.30,USD,check
PAY-000209,INV-000209,2025-02-06,3206.22,USD,bank_transfer
PAY-000210,INV-000210,2025-12-29,1116.37,USD,bank_transfer
PAY-000211,INV-000211,2025-04-26,1267.58,USD,bank_transfer
PAY-000212,INV-000212,2025-04-19,24.02,USD,check
PAY-000213,INV-000213,2025-11-03,2473.69,USD,bank_transfer
PAY-000214,INV-000214,2025-07-11,3716.48,USD,card
PAY-000215,INV-000215,2025-02-22,3613.87,USD,check
PAY-000216,INV-000216,2025-11-25,3476.50,USD,bank_transfer
PAY-000217,INV-000217,2025-10-15,1188.64,USD,card
PAY-000218,INV-000218,2025-03-24,384.39,USD,card
PAY-000219,INV-000219,2025-11-19,3936.69,USD,card
PAY-000220,INV-000220,2025-03-24,2467.32,USD,check
PAY-000221,INV-000221,2025-08-27,4952.33,USD,check
PAY-000222,INV-000222,2025-10-18,2305.11,USD,bank_transfer
PAY-000223,INV-000223,2025-09-17,3861.07,USD,card
PAY-000224,INV-000224,2025-02-26,488.81,USD,check
PAY-000225,INV-000225,2025-12-10,4994.85,USD,card
PAY-000226,INV-000226,2025-11-03,220.92,USD,card
PAY-000227,INV-000227,2025-10-10,3425.78,USD,bank_transfer
PAY-000228,INV-000228,2025-11-27,2295.29,USD,bank_transfer
PAY-000229,INV-000229,2025-09-19,1834.31,USD,card
PAY-000230,INV-000230,2025-12-31,558.40,USD,card
PAY-000231,INV-000231,2026-02-02,2607.68,USD,card
PAY-000232,INV-000232,2025-10-14,202.39,USD,card
PAY-000233,INV-000233,2025-06-04,1704.88,USD,check
PAY-000234,INV-000234,2025-01-30,3458.03,USD,card
PAY-000235,INV-000235,2025-02-20,993.47,USD,check
PAY-000236,INV-000236,2025-09-16,3288.94,USD,bank_transfer
PAY-000237,INV-000237,2025-06-04,2889.49,USD,card
PAY-000238,INV-000238,2025-12-25,2551.28,USD,check
PAY-000239,INV-000239,2025-12-23,4200.70,USD,bank_transfer
PAY-000240,INV-000240,2025-07-14,2897.98,USD,card
PAY-000241,INV-000241,2025-03-18,1188.07,USD,bank_transfer
PAY-000242,INV-000242,2025-12-29,4372.82,USD,check
PAY-000243,INV-000243,2025-06-16,2677.95,USD,card
PAY-000244,INV-000244,2025-10-04,2485.79,USD,check
PAY-000245,INV-000245,2025-04-23,2021.09,USD,check
PAY-000246,INV-000246,2025-03-28,4539.98,USD,card
PAY-000247,INV-000247,2025-07-11,4908.15,USD,bank_transfer
PAY-000248,INV-000248,2025-07-01,3816.59,USD,check
PAY-000249,INV-000249,2026-01-01,2577.12,USD,check
PAY-000250,INV-000250,2025-10-10,1819.44,USD,check
PAY-000251,INV-000251,2025-07-25,2397.31,USD,check
PAY-000252,INV-000252,2025-05-17,3007.86,USD,card
PAY-000253,INV-000253,2025-02-22,1678.16,USD,check
PAY-000254,INV-000254,2025-08-25,2034.16,USD,bank_transfer
PAY-000255,INV-000255,2025-10-13,204.08,USD,check
PAY-000256,INV-000256,2025-07-17,4569.73,USD,bank_transfer
PAY-000257,INV-000257,2025-09-27,4783.33,USD,check
PAY-000258,INV-000258,2025-03-24,2159.46,USD,bank_transfer
PAY-000259,INV-000259,2025-09-19,4107.44,USD,check
PAY-000260,INV-000260,2025-12-26,2093.95,USD,card
PAY-000261,INV-000261,2026-01-05,4515.42,USD,card
PAY-000262,INV-000262,2025-12-18,3778.14,USD,check
PAY-000263,INV-000263,2025-02-03,3247.26,USD,check
PAY-000264,INV-000264,2025-12-31,4838.32,USD,check
PAY-000265,INV-000265,2025-03-28,2285.26,USD,check
PAY-000266,INV-000266,2025-04-06,2336.15,USD,card
PAY-000267,INV-000267,2025-01-18,251.12,USD,card
PAY-000268,INV-000268,2025-07-12,1975.24,USD,bank_transfer
PAY-000269,INV-000269,2025-11-11,2170.33,USD,bank_transfer
PAY-000270,INV-000270,2025-05-07,927.86,USD,card
PAY-000271,INV-000271,2025-12-15,3591.59,USD,check
PAY-000272,INV-000272,2025-04-24,1227.33,USD,card
PAY-000273,INV-000273,2025-08-24,1348.64,USD,card
PAY-000274,INV-000274,2025-06-07,3562.63,USD,bank_transfer
PAY-000275,INV-000275,2025-09-21,4965.75,USD,card
PAY-000276,INV-000276,2025-12-10,2234.60,USD,card
PAY-000277,INV-000277,2025-07-04,1054.47,USD,bank_transfer
PAY-000278,INV-000278,2025-05-24,2009.44,USD,check
PAY-000279,INV-000279,2025-06-02,3676.23,USD,check
PAY-000280,INV-000280,2025-08-27,1449.06,USD,check
PAY-000281,INV-000281,2025-02-26,4784.25,USD,card
PAY-000282,INV-000282,2025-05-12,3192.76,USD,check
PAY-000283,INV-000283,2025-05-21,3265.25,USD,check
PAY-000284,INV-000284,2026-01-13,3579.64,USD,bank_transfer
PAY-000285,INV-000285,2025-12-07,3398.68,USD,card
PAY-000286,INV-000286,2025-01-26,3048.63,USD,bank_transfer
PAY-000287,INV-000287,2025-06-27,1722.94,USD,bank_transfer
PAY-000288,INV-000288,2025-05-06,702.89,USD,check
PAY-000289,INV-000289,2025-09-24,4799.30,USD,card
PAY-000290,INV-000290,2025-09-25,4238.32,USD,bank_transfer
PAY-000291,INV-000291,2025-09-11,404.78,USD,check
PAY-000292,INV-000292,2026-01-04,2093.58,USD,bank_transfer
PAY-000293,INV-000293,2025-08-25,82.97,USD,bank_transfer
PAY-000294,INV-000294,2025-10-03,1942.45,USD,card
PAY-000295,INV-000295,2025-11-19,2007.67,USD,bank_transfer
PAY-000296,INV-000296,2025-12-13,1235.90,USD,check
PAY-000297,INV-000297,2025-10-29,1729.69,USD,check
PAY-000298,INV-000298,2025-03-18,3341.34,USD,card
PAY-000299,INV-000299,2025-12-07,2150.64,USD,bank_transfer
PAY-000300,INV-000300,2025-01-27,1605.74,USD,bank_transfer
PAY-000301,INV-000301,2025-05-09,4661.79,USD,card
PAY-000302,INV-000302,2025-10-04,1955.16,USD,check
PAY-000303,INV-000303,2025-08-12,3089.35,USD,card
PAY-000304,INV-000304,2026-01-10,529.15,USD,card
PAY-000305,INV-000305,2025-06-16,181.52,USD,bank_transfer
PAY-000306,INV-000306,2025-09-08,2341.48,USD,bank_transfer
PAY-000307,INV-000307,2026-01-28,1935.89,USD,card
PAY-000308,INV-000308,2025-02-13,2097.39,USD,bank_transfer
PAY-000309,INV-000309,2025-09-03,490.63,USD,check
PAY-000310,INV-000310,2025-11-27,3140.76,USD,card
PAY-000311,INV-000311,2025-05-18,670.20,USD,bank_transfer
PAY-000312,INV-000312,2025-10-24,1096.10,USD,bank_transfer
PAY-000313,INV-000313,2025-07-26,4069.92,USD,bank_transfer
PAY-000314,INV-000314,2025-05-30,4510.52,USD,check
PAY-000315,INV-000315,2025-05-16,4196.51,USD,check
PAY-000316,INV-000316,2025-02-05,701.02,USD,bank_transfer
PAY-000317,INV-000317,2025-11-09,1707.49,USD,card
PAY-000318,INV-000318,2025-02-22,674.57,USD,check
PAY-000319,INV-000319,2025-03-30,3919.43,USD,card
PAY-000320,INV-000320,2025-07-11,2700.84,USD,card
PAY-000321,INV-000321,2025-09-17,1171.55,USD,check
PAY-000322,INV-000322,2026-01-02,2743.90,USD,check
PAY-000323,INV-000323,2025-02-10,328.90,USD,card
PAY-000324,INV-000324,2026-02-01,576.03,USD,card
PAY-000325,INV-000325,2025-02-27,4724.74,USD,check
PAY-000326,INV-000326,2025-04-03,354.36,USD,check
PAY-000327,INV-000327,2026-01-05,3078.99,USD,card
PAY-000328,INV-000328,2025-08-02,3142.05,USD,card
PAY-000329,INV-000329,2025-09-22,3184.18,USD,check
PAY-000330,INV-000330,2025-04-10,4481.08,USD,check
PAY-000331,INV-000331,2025-05-05,2264.80,USD,card
PAY-000332,INV-000332,2025-07-18,4348.05,USD,card
PAY-000333,INV-000333,2025-03-10,1648.65,USD,check
PAY-000334,INV-000334,2025-06-23,1972.41,USD,card
PAY-000335,INV-000335,2025-02-09,488.28,USD,card
PAY-000336,INV-000336,2025-03-14,3913.79,USD,bank_transfer
PAY-000337,INV-000337,2025-11-16,324.47,USD,check
PAY-000338,INV-000338,2025-07-14,3522.79,USD,card
PAY-000339,INV-000339,2026-01-03,4944.23,USD,check
PAY-000340,INV-000340,2025-02-15,1518.00,USD,card
PAY-000341,INV-000341,2025-03-08,3039.95,USD,bank_transfer
PAY-000342,INV-000342,2025-12-09,2538.06,USD,card
PAY-000343,INV-000343,2025-10-29,1937.07,USD,check
PAY-000344,INV-000344,2025-05-31,4242.16,USD,check
PAY-000345,INV-000345,2025-12-16,3548.82,USD,bank_transfer
PAY-000346,INV-000346,2025-12-22,4881.07,USD,card
PAY-000347,INV-000347,2025-02-28,955.89,USD,card
PAY-000348,INV-000348,2025-07-04,1850.37,USD,bank_transfer
PAY-000349,INV-000349,2025-10-21,3456.37,USD,bank_transfer
PAY-000350,INV-000350,2025-12-24,170.73,USD,bank_transfer
PAY-000351,INV-000351,2025-08-02,2211.13,USD,bank_transfer
PAY-000352,INV-000352,2025-07-29,1643.87,USD,check
PAY-000353,INV-000353,2025-11-11,455.41,USD,bank_transfer
PAY-000354,INV-000354,2025-11-18,270.89,USD,card
PAY-000355,INV-000355,2025-09-15,3480.46,USD,check
PAY-000356,INV-000356,2025-08-28,2181.51,USD,check
PAY-000357,INV-000357,2025-03-07,1819.69,USD,card
PAY-000358,INV-000358,2026-01-14,3567.22,USD,check
PAY-000359,INV-000359,2025-12-22,1627.00,USD,card
PAY-000360,INV-000360,2025-11-16,297.21,USD,card
PAY-000361,INV-000361,2025-05-05,4033.12,USD,card
PAY-000362,INV-000362,2025-07-18,639.06,USD,check
PAY-000363,INV-000363,2025-09-02,931.14,USD,check
PAY-000364,INV-000364,2026-01-31,1216.44,USD,check
PAY-000365,INV-000365,2025-07-03,387.88,USD,card
PAY-000366,INV-000366,2025-01-30,2420.43,USD,check
PAY-000367,INV-000367,2025-09-22,3016.26,USD,check
PAY-000368,INV-000368,2025-08-27,1527.89,USD,bank_transfer
PAY-000369,INV-000369,2025-07-15,911.11,USD,check
PAY-000370,INV-000370,2025-07-11,472.05,USD,bank_transfer
PAY-000371,INV-000371,2025-09-14,3097.38,USD,bank_transfer
PAY-000372,INV-000372,2025-08-12,4574.05,USD,bank_transfer
PAY-000373,INV-000373,2025-06-24,4094.82,USD,check
PAY-000374,INV-000374,2025-12-23,607.82,USD,bank_transfer
PAY-000375,INV-000375,2025-08-08,1850.77,USD,bank_transfer
PAY-000376,INV-000376,2025-05-17,548.99,USD,bank_transfer
PAY-000377,INV-000377,2025-05-10,3168.30,USD,bank_transfer
PAY-000378,INV-000378,2025-05-11,4997.51,USD,card
PAY-000379,INV-000379,2025-10-02,3965.46,USD,card
PAY-000380,INV-000380,2026-01-25,4855.22,USD,check
PAY-000381,INV-000381,2025-12-06,1704.54,USD,bank_transfer
PAY-000382,INV-000382,2025-09-11,368.01,USD,check
PAY-000383,INV-000383,2025-07-12,4185.06,USD,bank_transfer
PAY-000384,INV-000384,2025-07-19,2669.90,USD,card
PAY-000385,INV-000385,2025-09-12,207.17,USD,card
PAY-000386,INV-000386,2025-03-20,3389.90,USD,check
PAY-000387,INV-000387,2025-10-24,2025.79,USD,check
PAY-000388,INV-000388,2025-03-04,2367.89,USD,bank_transfer
PAY-000389,INV-000389,2025-07-16,3181.97,USD,bank_transfer
PAY-000390,INV-000390,2025-02-22,2372.03,USD,check
PAY-000391,INV-000391,2025-02-24,2655.28,USD,bank_transfer
PAY-000392,INV-000392,2025-06-04,3719.97,USD,check
PAY-000393,INV-000393,2025-10-18,3207.13,USD,card
PAY-000394,INV-000394,2025-06-15,2041.17,USD,check
PAY-000395,INV-000395,2025-12-14,284.54,USD,card
PAY-000396,INV-000396,2025-03-10,1738.52,USD,check
PAY-000397,INV-000397,2025-08-28,1499.74,USD,check
PAY-000398,INV-000398,2025-04-24,1757.77,USD,check
PAY-000399,INV-000399,2025-04-02,4816.39,USD,check
PAY-000400,INV-000400,2026-01-01,3481.49,USD,check
PAY-000401,INV-000401,2026-01-17,4927.83,USD,check
PAY-000402,INV-000402,2025-07-20,3383.75,USD,check
PAY-000403,INV-000403,2026-02-07,4356.13,USD,check
PAY-000404,INV-000404,2025-03-16,3397.03,USD,check
PAY-000405,INV-000405,2025-07-24,105.58,USD,bank_transfer
PAY-000406,INV-000406,2025-05-21,1801.66,USD,bank_transfer
PAY-000407,INV-000407,2025-04-30,731.23,USD,card
PAY-000408,INV-000408,2025-03-27,2671.75,USD,check
PAY-000409,INV-000409,2025-10-18,207.90,USD,check
PAY-000410,INV-000410,2025-03-18,3141.29,USD,bank_transfer
PAY-000411,INV-000411,2025-05-12,4368.64,USD,bank_transfer
PAY-000412,INV-000412,2025-09-05,239.07,USD,check
PAY-000413,INV-000413,2025-05-20,2338.88,USD,check
PAY-000414,INV-000414,2025-09-02,1236.84,USD,card
PAY-000415,INV-000415,2025-09-21,4749.42,USD,check
PAY-000416,INV-000416,2025-11-07,2319.99,USD,card
PAY-000417,INV-000417,2025-09-25,2775.40,USD,bank_transfer
PAY-000418,INV-000418,2025-11-09,735.60,USD,check
PAY-000419,INV-000419,2025-10-09,4592.89,USD,bank_transfer
PAY-000420,INV-000420,2026-01-07,4444.91,USD,card
PAY-000421,INV-000421,2025-03-01,4010.92,USD,card
PAY-000422,INV-000422,2025-09-25,782.53,USD,bank_transfer
PAY-000423,INV-000423,2025-08-20,4648.00,USD,card
PAY-000424,INV-000424,2025-02-20,2088.56,USD,bank_transfer
PAY-000425,INV-000425,2025-07-31,437.84,USD,bank_transfer
PAY-000426,INV-000426,2025-07-28,4890.20,USD,check
PAY-000427,INV-000427,2025-06-29,4159.11,USD,bank_transfer
PAY-000428,INV-000428,2025-07-10,4819.79,USD,bank_transfer
PAY-000429,INV-000429,2026-02-05,2469.48,USD,bank_transfer
PAY-000430,INV-000430,2025-02-23,109.63,USD,bank_transfer
PAY-000431,INV-000431,2025-11-15,4939.49,USD,check
PAY-000432,INV-000432,2025-08-23,592.93,USD,bank_transfer
PAY-000433,INV-000433,2025-06-19,648.83,USD,card
PAY-000434,INV-000434,2025-12-23,4172.31,USD,bank_transfer
PAY-000435,INV-000435,2025-04-05,4396.65,USD,check
PAY-000436,INV-000436,2025-02-14,3323.26,USD,bank_transfer
PAY-000437,INV-000437,2025-03-15,1537.10,USD,check
PAY-000438,INV-000438,2025-07-26,1271.24,USD,bank_transfer
