invoice_id,customer_id,invoice_date,due_date,amount,currency
INV-000057,CUST-0060,2025-08-05,2025-09-04,2165.35,USD
INV-000058,CUST-0013,2025-12-01,2025-12-31,3397.84,USD
INV-000059,CUST-0014,2025-06-23,2025-07-23,4207.41,USD
INV-000060,CUST-0058,2025-04-08,2025-05-08,2821.68,USD
INV-000061,CUST-0060,2025-04-04,2025-05-04,1470.37,USD
INV-000062,CUST-0071,2025-08-15,2025-09-14,4246.36,USD
INV-000063,CUST-0002,2025-11-30,2025-12-30,2844.23,USD
INV-000064,CUST-0063,2025-03-27,2025-04-26,2140.78,USD
INV-000065,CUST-0008,2025-07-25,2025-08-24,4741.39,USD
INV-000066,CUST-0034,2025-01-02,2025-02-01,2056.93,USD
INV-000067,CUST-0094,2025-08-05,2025-09-04,3662.14,USD
INV-000068,CUST-0025,2025-09-07,2025-10-07,821.58,USD
INV-000069,CUST-0095,2025-01-30,2025-03-01,3046.57,USD
INV-000070,CUST-0007,2025-06-10,2025-07-10,309.71,USD
INV-000071,CUST-0068,2025-09-15,2025-10-15,4830.23,USD
INV-000072,CUST-0024,2025-09-18,2025-10-18,430.01,USD
INV-000073,CUST-0031,2025-02-04,2025-03-06,3550.05,USD
INV-000074,CUST-0075,2025-10-19,2025-11-18,1300.87,USD
INV-000075,CUST-0054,2025-11-14,2025-12-14,439.82,USD
INV-000076,CUST-0041,2025-10-17,2025-11-16,2750.88,USD
INV-000077,CUST-0041,2025-12-09,2026-01-08,3764.90,USD
INV-000078,CUST-0086,2025-07-22,2025-08-21,696.17,USD
INV-000079,CUST-0097,2025-08-23,2025-09-22,1667.67,USD
INV-000080,CUST-0073,2025-08-23,2025-09-22,3266.66,USD
INV-000081,CUST-0065,2025-10-03,2025-11-02,1127.54,USD
INV-000082,CUST-0009,2025-06-28,2025-07-28,4628.26,USD
INV-000083,CUST-0057,2025-05-26,2025-06-25,837.04,USD
INV-000084,CUST-0084,2025-06-04,2025-07-04,3216.95,USD
INV-000085,CUST-0071,2025-12-08,2026-01-07,4293.97,USD
INV-000086,CUST-0018,2025-02-23,2025-03-25,4932.69,USD
INV-000087,CUST-0071,2025-02-24,2025-03-26,3902.40,USD
INV-000088,CUST-0027,2025-05-25,2025-06-24,3181.05,USD
INV-000089,CUST-0082,2025-04-15,2025-05-15,3614.46,USD
INV-000090,CUST-0007,2025-09-08,2025-10-08,1326.59,USD
INV-000091,CUST-0036,2025-08-05,2025-09-04,4358.17,USD
INV-000092,CUST-0017,2025-06-20,2025-07-20,4052.88,USD
INV-000093,CUST-0057,2025-03-24,2025-04-23,3896.18,USD
INV-000094,CUST-0002,2025-08-07,2025-09-06,2950.76,USD
INV-000095,CUST-0020,2025-12-20,2026-01-19,4749.18,USD
INV-000096,CUST-0071,2025-07-09,2025-08-08,3064.02,USD
INV-000097,CUST-0040,2025-03-07,2025-04-06,229.30,USD
INV-000098,CUST-0088,2025-07-03,2025-08-02,1111.40,USD
INV-000099,CUST-0100,2025-02-22,2025-03-24,1864.29,USD
INV-000100,CUST-0020,2025-11-14,2025-12-14,3939.42,USD
INV-000101,CUST-0053,2025-04-01,2025-05-01,4631.15,USD
INV-000102,CUST-0053,2025-06-20,2025-07-20,4111.95,USD
INV-000103,CUST-0021,2025-05-08,2025-06-07,1408.83,USD
INV-000104,CUST-0005,2025-07-15,2025-08-14,4582.66,USD
INV-000105,CUST-0059,2025-04-13,2025-05-13,4291.26,USD
INV-000106,CUST-0004,2025-04-27,2025-05-27,1178.76,USD
INV-000107,CUST-0036,2025-07-24,2025-08-23,1731.03,USD
INV-000108,CUST-0066,2025-06-29,2025-07-29,3373.21,USD
INV-000109,CUST-0004,2025-10-02,2025-11-01,1746.17,USD
INV-000110,CUST-0034,2025-04-02,2025-05-02,3053.96,USD
INV-000111,CUST-0045,2025-11-02,2025-12-02,2288.36,USD
INV-000112,CUST-0015,2025-11-07,2025-12-07,2691.32,USD
INV-000113,CUST-0006,2025-04-08,2025-05-08,1345.47,USD
INV-000114,CUST-0069,2025-01-01,2025-01-31,2735.87,USD
INV-000115,CUST-0047,2025-12-10,2026-01-09,1043.03,USD
INV-000116,CUST-0043,2025-12-07,2026-01-06,4837.49,USD
INV-000117,CUST-0016,2025-12-06,2026-01-05,4456.04,USD
INV-000118,CUST-0053,2025-06-08,2025-07-08,3506.43,USD
INV-000119,CUST-0071,2025-12-23,2026-01-22,1560.08,USD
INV-000120,CUST-0049,2025-08-04,2025-09-03,3496.14,USD
INV-000121,CUST-0073,2025-03-31,2025-04-30,3237.07,USD
INV-000122,CUST-0001,2025-10-08,2025-11-07,4381.12,USD
INV-000123,CUST-0075,2025-04-18,2025-05-18,2263.85,USD
INV-000124,CUST-0057,2025-06-14,2025-07-14,2447.87,USD
INV-000125,CUST-0061,2025-04-20,2025-05-20,2690.02,USD
INV-000126,CUST-0066,2025-02-13,2025-03-15,1497.85,USD
INV-000127,CUST-0012,2025-11-14,2025-12-14,1767.35,USD
INV-000128,CUST-0026,2025-06-08,2025-07-08,1187.76,USD
INV-000129,CUST-0061,2025-01-24,2025-02-23,1293.68,USD
INV-000130,CUST-0081,2025-08-22,2025-09-21,2182.86,USD
INV-000131,CUST-0064,2025-12-23,2026-01-22,2023.15,USD
INV-000132,CUST-0089,2025-03-17,2025-04-16,3449.63,USD
INV-000133,CUST-0023,2025-08-06,2025-09-05,1157.35,USD
INV-000134,CUST-0072,2025-08-26,2025-09-25,273.28,USD
INV-000135,CUST-0060,2025-08-22,2025-09-21,709.08,USD
INV-000136,CUST-0041,2025-10-14,2025-11-13,3131.88,USD
INV-000137,CUST-0071,2025-09-16,2025-10-16,2247.35,USD
INV-000138,CUST-0034,2025-09-01,2025-10-01,2369.66,USD
INV-000139,CUST-0100,2025-05-22,2025-06-21,4025.06,USD
INV-000140,CUST-0036,2025-11-17,2025-12-17,1264.33,USD
INV-000141,CUST-0035,2025-05-27,2025-06-26,1239.42,USD
INV-000142,CUST-0018,2025-10-04,2025-11-03,432.45,USD
INV-000143,CUST-0020,2025-07-16,2025-08-15,3648.29,USD
INV-000144,CUST-0053,2025-02-02,2025-03-04,2185.10,USD
INV-000145,CUST-0008,2025-08-27,2025-09-26,2189.85,USD
INV-000146,CUST-0099,2025-07-19,2025-08-18,4753.95,USD
INV-000147,CUST-0098,2025-01-11,2025-02-10,4501.74,USD
INV-000148,CUST-0046,2025-09-02,2025-10-02,40.91,USD
INV-000149,CUST-0096,2025-08-03,2025-09-02,2831.82,USD
INV-000150,CUST-0029,2025-04-23,2025-05-23,2569.72,USD
INV-000151,CUST-0050,2025-09-06,2025-10-06,162.17,USD
INV-000152,CUST-0052,2025-12-14,2026-01-13,4194.56,USD
INV-000153,CUST-0069,2025-03-07,2025-04-06,3272.41,USD
INV-000154,CUST-0085,2025-10-31,2025-11-30,2969.03,USD
INV-000155,CUST-0018,2025-11-26,2025-12-26,2257.16,USD
INV-000156,CUST-0049,2025-01-26,2025-02-25,1373.96,USD
INV-000157,CUST-0044,2025-08-21,2025-09-20,1723.61,USD
INV-000158,CUST-0011,2025-08-04,2025-09-03,1332.62,USD
INV-000159,CUST-0045,2025-10-04,2025-11-03,283.07,USD
INV-000160,CUST-0084,2025-02-05,2025-03-07,4105.91,USD
INV-000161,CUST-0003,2025-05-07,2025-06-06,1055.22,USD
INV-000162,CUST-0061,2025-05-03,2025-06-02,671.76,USD
INV-000163,CUST-0028,2025-10-16,2025-11-15,4978.97,USD
INV-000164,CUST-0048,2025-05-12,2025-06-11,4030.75,USD
INV-000165,CUST-0092,2025-11-07,2025-12-07,3931.28,USD
INV-000166,CUST-0075,2025-06-09,2025-07-09,576.74,USD
INV-000167,CUST-0049,2025-10-22,2025-11-21,3561.25,USD
INV-000168,CUST-0076,2025-04-12,2025-05-12,408.44,USD
INV-000169,CUST-0090,2025-05-05,2025-06-04,544.25,USD
INV-000170,CUST-0016,2025-11-04,2025-12-04,4233.28,USD
INV-000171,CUST-0055,2025-06-27,2025-07-27,2803.11,USD
INV-000172,CUST-0083,2025-02-05,2025-03-07,2662.69,USD
INV-000173,CUST-0063,2025-08-04,2025-09-03,4321.38,USD
INV-000174,CUST-0059,2025-07-05,2025-08-04,3342.29,USD
INV-000175,CUST-0094,2025-08-11,2025-09-10,933.46,USD
INV-000176,CUST-0069,2025-05-19,2025-06-18,3239.15,USD
INV-000177,CUST-0094,2025-08-12,2025-09-11,4339.22,USD
INV-000178,CUST-0032,2025-06-15,2025-07-15,4475.42,USD
INV-000179,CUST-0097,2025-08-19,2025-09-18,1288.54,USD
INV-000180,CUST-0049,2025-11-09,2025-12-09,3513.23,USD
INV-000181,CUST-0042,2025-09-11,2025-10-11,4471.44,USD
INV-000182,CUST-0034,2025-04-19,2025-05-19,1870.30,USD
INV-000183,CUST-0036,2025-11-02,2025-12-02,3686.22,USD
INV-000184,CUST-0025,2025-09-22,2025-10-22,4980.57,USD
INV-000185,CUST-0072,2025-07-28,2025-08-27,2571.55,USD
INV-000186,CUST-0092,2025-09-01,2025-10-01,3396.39,USD
INV-000187,CUST-0038,2025-01-09,2025-02-08,497.86,USD
INV-000188,CUST-0040,2025-12-21,2026-01-20,1285.61,USD
INV-000189,CUST-0071,2025-07-08,2025-08-07,2491.24,USD
INV-000190,CUST-0071,2025-08-06,2025-09-05,3920.84,USD
INV-000191,CUST-0035,2025-12-26,2026-01-25,2388.93,USD
INV-000192,CUST-0093,2025-04-29,2025-05-29,642.58,USD
INV-000193,CUST-0069,2025-03-03,2025-04-02,3904.83,USD
INV-000194,CUST-0095,2025-04-09,2025-05-09,1144.47,USD
INV-000195,CUST-0068,2025-10-29,2025-11-28,3995.67,USD
INV-000196,CUST-0025,2025-02-21,2025-03-23,4375.37,USD
INV-000197,CUST-0039,2025-07-04,2025-08-03,950.79,USD
INV-000198,CUST-0036,2025-10-01,2025-10-31,673.65,USD
INV-000199,CUST-0090,2025-10-11,2025-11-10,1541.63,USD
INV-000200,CUST-0002,2025-09-09,2025-10-09,547.85,USD
INV-000201,CUST-0057,2025-08-29,2025-09-28,2519.84,USD
INV-000202,CUST-0062,2025-01-27,2025-02-26,1333.71,USD
INV-000203,CUST-0010,2025-07-25,2025-08-24,2588.16,USD
INV-000204,CUST-0020,2025-12-18,2026-01-17,291.06,USD
INV-000205,CUST-0032,2025-06-05,2025-07-05,456.59,USD
INV-000206,CUST-0077,2025-08-02,2025-09-01,3188.85,USD
INV-000207,CUST-0058,2025-09-25,2025-10-25,2004.27,USD
INV-000208,CUST-0040,2025-10-29,2025-11-28,2258.30,USD
INV-000209,CUST-0095,2025-01-31,2025-03-02,3206.22,USD
INV-000210,CUST-0034,2025-11-17,2025-12-17,1116.37,USD
INV-000211,CUST-0023,2025-03-22,2025-04-21,1267.58,USD
INV-000212,CUST-0053,2025-03-22,2025-04-21,24.02,USD
INV-000213,CUST-0038,2025-11-01,2025-12-01,2473.69,USD
INV-000214,CUST-0037,2025-05-28,2025-06-27,3716.48,USD
INV-000215,CUST-0030,2025-02-06,2025-03-08,3613.87,USD
INV-000216,CUST-0026,2025-10-29,2025-11-28,3476.50,USD
INV-000217,CUST-0083,2025-10-06,2025-11-05,1188.64,USD
INV-000218,CUST-0008,2025-03-14,2025-04-13,384.39,USD
INV-000219,CUST-0073,2025-11-01,2025-12-01,3936.69,USD
INV-000220,CUST-0089,2025-03-05,2025-04-04,2467.32,USD
INV-000221,CUST-0035,2025-07-26,2025-08-25,4952.33,USD
INV-000222,CUST-0011,2025-09-10,2025-10-10,2305.11,USD
INV-000223,CUST-0042,2025-08-10,2025-09-09,3861.07,USD
INV-000224,CUST-0030,2025-01-14,2025-02-13,488.81,USD
INV-000225,CUST-0003,2025-10-28,2025-11-27,4994.85,USD
INV-000226,CUST-0098,2025-10-23,2025-11-22,220.92,USD
INV-000227,CUST-0057,2025-09-23,2025-10-23,3425.78,USD
INV-000228,CUST-0082,2025-10-27,2025-11-26,2295.29,USD
INV-000229,CUST-0053,2025-08-29,2025-09-28,1834.31,USD
INV-000230,CUST-0021,2025-12-10,2026-01-09,558.40,USD
INV-000231,CUST-0037,2025-12-22,2026-01-21,2607.68,USD
INV-000232,CUST-0059,2025-10-09,2025-11-08,202.39,USD
INV-000233,CUST-0015,2025-05-10,2025-06-09,1704.88,USD
INV-000234,CUST-0070,2025-01-01,2025-01-31,3458.03,USD
INV-000235,CUST-0067,2025-01-28,2025-02-27,993.47,USD
INV-000236,CUST-0057,2025-09-13,2025-10-13,3288.94,USD
INV-000237,CUST-0017,2025-05-17,2025-06-16,2889.49,USD
INV-000238,CUST-0016,2025-12-24,2026-01-23,2551.28,USD
INV-000239,CUST-0031,2025-11-08,2025-12-08,4200.70,USD
INV-000240,CUST-0002,2025-06-09,2025-07-09,2897.98,USD
INV-000241,CUST-0015,2025-02-17,2025-03-19,1188.07,USD
INV-000242,CUST-0020,2025-11-28,2025-12-28,4372.82,USD
INV-000243,CUST-0091,2025-05-30,2025-06-29,2677.95,USD
INV-000244,CUST-0032,2025-09-05,2025-10-05,2485.79,USD
INV-000245,CUST-0025,2025-03-16,2025-04-15,2021.09,USD
INV-000246,CUST-0009,2025-03-11,2025-04-10,4539.98,USD
INV-000247,CUST-0065,2025-06-24,2025-07-24,4908.15,USD
INV-000248,CUST-0039,2025-05-25,2025-06-24,3816.59,USD
INV-000249,CUST-0020,2025-12-04,2026-01-03,2577.12,USD
INV-000250,CUST-0043,2025-09-05,2025-10-05,1819.44,USD
INV-000251,CUST-0042,2025-07-13,2025-08-12,2397.31,USD
INV-000252,CUST-0050,2025-05-03,2025-06-02,3007.86,USD
INV-000253,CUST-0096,2025-01-23,2025-02-22,1678.16,USD
INV-000254,CUST-0085,2025-07-15,2025-08-14,2034.16,USD
INV-000255,CUST-0017,2025-09-11,2025-10-11,204.08,USD
INV-000256,CUST-0013,2025-06-19,2025-07-19,4569.73,USD
INV-000257,CUST-0059,2025-09-27,2025-10-27,4783.33,USD
INV-000258,CUST-0084,2025-03-15,2025-04-14,2159.46,USD
INV-000259,CUST-0034,2025-08-29,2025-09-28,4107.44,USD
INV-000260,CUST-0084,2025-12-21,2026-01-20,2093.95,USD
INV-000261,CUST-0069,2025-12-12,2026-01-11,4515.42,USD
INV-000262,CUST-0098,2025-11-17,2025-12-17,3778.14,USD
INV-000263,CUST-0009,2025-01-19,2025-02-18,3247.26,USD
INV-000264,CUST-0037,2025-12-17,2026-01-16,4838.32,USD
INV-000265,CUST-0013,2025-02-16,2025-03-18,2285.26,USD
INV-000266,CUST-0022,2025-02-21,2025-03-23,2336.15,USD
INV-000267,CUST-0042,2025-01-15,2025-02-14,251.12,USD
INV-000268,CUST-0056,2025-07-03,2025-08-02,1975.24,USD
INV-000269,CUST-0073,2025-09-29,2025-10-29,2170.33,USD
INV-000270,CUST-0011,2025-03-29,2025-04-28,927.86,USD
INV-000271,CUST-0031,2025-11-14,2025-12-14,3591.59,USD
INV-000272,CUST-0060,2025-03-15,2025-04-14,1227.33,USD
INV-000273,CUST-0086,2025-08-24,2025-09-23,1348.64,USD
INV-000274,CUST-0070,2025-05-28,2025-06-27,3562.63,USD
INV-000275,CUST-0045,2025-08-15,2025-09-14,4965.75,USD
INV-000276,CUST-0089,2025-11-24,2025-12-24,2234.60,USD
INV-000277,CUST-0050,2025-06-04,2025-07-04,1054.47,USD
INV-000278,CUST-0074,2025-05-02,2025-06-01,2009.44,USD
INV-000279,CUST-0038,2025-06-01,2025-07-01,3676.23,USD
INV-000280,CUST-0002,2025-07-22,2025-08-21,1449.06,USD
INV-000281,CUST-0078,2025-01-26,2025-02-25,4784.25,USD
INV-000282,CUST-0046,2025-04-28,2025-05-28,3192.76,USD
INV-000283,CUST-0033,2025-04-08,2025-05-08,3265.25,USD
INV-000284,CUST-0018,2025-12-04,2026-01-03,3579.64,USD
INV-000285,CUST-0006,2025-11-18,2025-12-18,3398.68,USD
INV-000286,CUST-0047,2025-01-18,2025-02-17,3048.63,USD
INV-000287,CUST-0096,2025-06-01,2025-07-01,1722.94,USD
INV-000288,CUST-0070,2025-04-13,2025-05-13,702.89,USD
INV-000289,CUST-0035,2025-09-14,2025-10-14,4799.30,USD
INV-000290,CUST-0038,2025-09-04,2025-10-04,4238.32,USD
INV-000291,CUST-0019,2025-08-28,2025-09-27,404.78,USD
INV-000292,CUST-0072,2025-12-12,2026-01-11,2093.58,USD
INV-000293,CUST-0034,2025-07-22,2025-08-21,82.97,USD
INV-000294,CUST-0087,2025-08-21,2025-09-20,1942.45,USD
INV-000295,CUST-0082,2025-10-27,2025-11-26,2007.67,USD
INV-000296,CUST-0061,2025-12-12,2026-01-11,1235.90,USD
INV-000297,CUST-0079,2025-10-15,2025-11-14,1729.69,USD
INV-000298,CUST-0060,2025-02-02,2025-03-04,3341.34,USD
INV-000299,CUST-0015,2025-11-29,2025-12-29,2150.64,USD
INV-000300,CUST-0064,2025-01-20,2025-02-19,1605.74,USD
INV-000301,CUST-0069,2025-05-01,2025-05-31,4661.79,USD
INV-000302,CUST-0086,2025-08-21,2025-09-20,1955.16,USD
INV-000303,CUST-0096,2025-08-03,2025-09-02,3089.35,USD
INV-000304,CUST-0063,2025-12-02,2026-01-01,529.15,USD
INV-000305,CUST-0089,2025-05-24,2025-06-23,181.52,USD
INV-000306,CUST-0031,2025-08-16,2025-09-15,2341.48,USD
INV-000307,CUST-0070,2025-12-18,2026-01-17,1935.89,USD
INV-000308,CUST-0036,2025-02-01,2025-03-03,2097.39,USD
INV-000309,CUST-0085,2025-08-21,2025-09-20,490.63,USD
INV-000310,CUST-0003,2025-11-24,2025-12-24,3140.76,USD
INV-000311,CUST-0073,2025-05-05,2025-06-04,670.20,USD
INV-000312,CUST-0076,2025-10-11,2025-11-10,1096.10,USD
INV-000313,CUST-0019,2025-06-18,2025-07-18,4069.92,USD
INV-000314,CUST-0019,2025-05-22,2025-06-21,4510.52,USD
INV-000315,CUST-0023,2025-05-09,2025-06-08,4196.51,USD
INV-000316,CUST-0002,2025-01-14,2025-02-13,701.02,USD
INV-000317,CUST-0003,2025-10-29,2025-11-28,1707.49,USD
INV-000318,CUST-0095,2025-01-27,2025-02-26,674.57,USD
INV-000319,CUST-0009,2025-02-28,2025-03-30,3919.43,USD
INV-000320,CUST-0076,2025-07-05,2025-08-04,2700.84,USD
INV-000321,CUST-0079,2025-09-15,2025-10-15,1171.55,USD
INV-000322,CUST-0039,2025-12-04,2026-01-03,2743.90,USD
INV-000323,CUST-0062,2025-01-16,2025-02-15,328.90,USD
INV-000324,CUST-0063,2025-12-18,2026-01-17,576.03,USD
INV-000325,CUST-0011,2025-02-07,2025-03-09,4724.74,USD
INV-000326,CUST-0017,2025-03-17,2025-04-16,354.36,USD
INV-000327,CUST-0071,2025-11-21,2025-12-21,3078.99,USD
INV-000328,CUST-0068,2025-07-15,2025-08-14,3142.05,USD
INV-000329,CUST-0056,2025-09-16,2025-10-16,3184.18,USD
INV-000330,CUST-0084,2025-02-28,2025-03-30,4481.08,USD
INV-000331,CUST-0058,2025-04-21,2025-05-21,2264.80,USD
INV-000332,CUST-0059,2025-06-23,2025-07-23,4348.05,USD
INV-000333,CUST-0055,2025-02-18,2025-03-20,1648.65,USD
INV-000334,CUST-0020,2025-05-11,2025-06-10,1972.41,USD
INV-000335,CUST-0011,2025-02-04,2025-03-06,488.28,USD
INV-000336,CUST-0095,2025-02-19,2025-03-21,3913.79,USD
INV-000337,CUST-0076,2025-10-12,2025-11-11,324.47,USD
INV-000338,CUST-0016,2025-06-18,2025-07-18,3522.79,USD
INV-000339,CUST-0097,2025-12-07,2026-01-06,4944.23,USD
INV-000340,CUST-0077,2025-01-27,2025-02-26,1518.00,USD
INV-000341,CUST-0065,2025-02-23,2025-03-25,3039.95,USD
INV-000342,CUST-0029,2025-12-03,2026-01-02,2538.06,USD
INV-000343,CUST-0015,2025-10-12,2025-11-11,1937.07,USD
INV-000344,CUST-0055,2025-04-26,2025-05-26,4242.16,USD
INV-000345,CUST-0083,2025-11-11,2025-12-11,3548.82,USD
INV-000346,CUST-0085,2025-11-08,2025-12-08,4881.07,USD
INV-000347,CUST-0035,2025-01-15,2025-02-14,955.89,USD
INV-000348,CUST-0001,2025-06-23,2025-07-23,1850.37,USD
INV-000349,CUST-0052,2025-10-17,2025-11-16,3456.37,USD
INV-000350,CUST-0012,2025-11-21,2025-12-21,170.73,USD
INV-000351,CUST-0059,2025-07-12,2025-08-11,2211.13,USD
INV-000352,CUST-0093,2025-07-09,2025-08-08,1643.87,USD
INV-000353,CUST-0007,2025-11-02,2025-12-02,455.41,USD
INV-000354,CUST-0087,2025-11-13,2025-12-13,270.89,USD
INV-000355,CUST-0055,2025-08-15,2025-09-14,3480.46,USD
INV-000356,CUST-0035,2025-08-15,2025-09-14,2181.51,USD
INV-000357,CUST-0056,2025-02-28,2025-03-30,1819.69,USD
INV-000358,CUST-0076,2025-12-14,2026-01-13,3567.22,USD
INV-000359,CUST-0006,2025-12-08,2026-01-07,1627.00,USD
INV-000360,CUST-0001,2025-11-03,2025-12-03,297.21,USD
INV-000361,CUST-0018,2025-04-19,2025-05-19,4033.12,USD
INV-000362,CUST-0001,2025-06-17,2025-07-17,639.06,USD
INV-000363,CUST-0017,2025-08-09,2025-09-08,931.14,USD
INV-000364,CUST-0065,2025-12-27,2026-01-26,1216.44,USD
INV-000365,CUST-0051,2025-07-01,2025-07-31,387.88,USD
INV-000366,CUST-0010,2025-01-10,2025-02-09,2420.43,USD
INV-000367,CUST-0052,2025-08-08,2025-09-07,3016.26,USD
INV-000368,CUST-0015,2025-08-02,2025-09-01,1527.89,USD
INV-000369,CUST-0080,2025-06-16,2025-07-16,911.11,USD
INV-000370,CUST-0056,2025-07-05,2025-08-04,472.05,USD
INV-000371,CUST-0052,2025-08-12,2025-09-11,3097.38,USD
INV-000372,CUST-0040,2025-07-22,2025-08-21,4574.05,USD
INV-000373,CUST-0022,2025-06-20,2025-07-20,4094.82,USD
INV-000374,CUST-0068,2025-11-21,2025-12-21,607.82,USD
INV-000375,CUST-0094,2025-06-28,2025-07-28,1850.77,USD
INV-000376,CUST-0019,2025-05-01,2025-05-31,548.99,USD
INV-000377,CUST-0020,2025-03-30,2025-04-29,3168.30,USD
INV-000378,CUST-0099,2025-04-01,2025-05-01,4997.51,USD
INV-000379,CUST-0073,2025-08-26,2025-09-25,3965.46,USD
INV-000380,CUST-0073,2025-12-15,2026-01-14,4855.22,USD
INV-000381,CUST-0081,2025-11-16,2025-12-16,1704.54,USD
INV-000382,CUST-0061,2025-08-14,2025-09-13,368.01,USD
INV-000383,CUST-0036,2025-06-05,2025-07-05,4185.06,USD
INV-000384,CUST-0010,2025-06-30,2025-07-30,2669.90,USD
INV-000385,CUST-0008,2025-08-20,2025-09-19,207.17,USD
INV-000386,CUST-0012,2025-02-09,2025-03-11,3389.90,USD
INV-000387,CUST-0060,2025-09-17,2025-10-17,2025.79,USD
INV-000388,CUST-0074,2025-01-22,2025-02-21,2367.89,USD
INV-000389,CUST-0061,2025-06-14,2025-07-14,3181.97,USD
INV-000390,CUST-0014,2025-02-01,2025-03-03,2372.03,USD
INV-000391,CUST-0083,2025-02-13,2025-03-15,2655.28,USD
INV-000392,CUST-0057,2025-05-07,2025-06-06,3719.97,USD
INV-000393,CUST-0021,2025-09-25,2025-10-25,3207.13,USD
INV-000394,CUST-0053,2025-05-25,2025-06-24,2041.17,USD
INV-000395,CUST-0081,2025-11-03,2025-12-03,284.54,USD
INV-000396,CUST-0013,2025-02-03,2025-03-05,1738.52,USD
INV-000397,CUST-0033,2025-07-17,2025-08-16,1499.74,USD
INV-000398,CUST-0011,2025-03-18,2025-04-17,1757.77,USD
INV-000399,CUST-0045,2025-03-14,2025-04-13,4816.39,USD
INV-000400,CUST-0051,2025-12-24,2026-01-23,3481.49,USD
